127.0.0.1, 2019-04-07 20:24:54, GET, /, HTTP/1.1, 303, 15.020219
127.0.0.1, 2019-04-07 20:24:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.787656
127.0.0.1, 2019-04-07 20:24:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000914
127.0.0.1, 2019-04-07 20:24:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001076
127.0.0.1, 2019-04-07 20:24:55, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000802
127.0.0.1, 2019-04-07 20:24:55, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002295
127.0.0.1, 2019-04-07 20:25:25, GET, /, HTTP/1.1, 303, 0.000774
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.180597
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000796
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002181
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001056
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002515
127.0.0.1, 2019-04-07 20:25:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002092
127.0.0.1, 2019-04-07 20:25:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000663
127.0.0.1, 2019-04-07 20:25:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000934
127.0.0.1, 2019-04-17 23:17:06, GET, /, HTTP/1.1, 303, 15.009483
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.944219
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001055
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000918
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000978
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008826
127.0.0.1, 2019-04-17 23:17:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000824
